Rank,Ticker,Sector,Industry,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50
1068,SPLIL,Consumer Cyclical,Apparel Manufacturing,97.67,46,41,25,9,32.61,917311843.75,-27.85,7454,10069,9058
1069,VENKEYS,Consumer Defensive,Farm Products,97.67,46,47,79,63,1565.0,21204257459.341797,-13.06,51701,41867,37546
1070,ARIES,Basic Materials,Agricultural Inputs,97.66,46,43,74,78,344.8,4435129657.205627,-25.03,8546,14715,17628
1071,MOHITIND,Consumer Cyclical,Textile Manufacturing,97.63,45,24,17,26,26.09,325624225.0,-35.08,145642,54588,41634
1072,ONESOURCE,Healthcare,Biotechnology,97.62,45,41,88,7,1575.4,189652700914.46033,-22.26,275952,297263,259303
1073,VAISHALI,Healthcare,Drug Manufacturers - Specialty & Generic,97.6,45,31,8,7,8.21,1007167616.2279558,-37.33,238440,134731,117909
1074,RECLTD,Financial Services,Credit Services,97.58,45,46,49,59,343.75,952173814471.9238,-14.83,4899198,5180312,5444442
1075,ORISSAMINE,Basic Materials,Steel,97.58,45,13,24,24,4450.7,22482000000.0,-27.5,34375,15204,12547
1076,LAGNAM,Consumer Cyclical,Textile Manufacturing,97.57,45,64,54,33,82.13,1595687346.862793,-22.37,15850,15516,13194
1077,LGEINDIA,Technology,Consumer Electronics,97.56,45,49,54,50,1557.8,1036621163919.2168,-10.93,273346,323862,530334
1078,AMDIND,Consumer Cyclical,Packaging & Containers,97.56,45,46,49,27,47.25,952204096.1692276,-30.59,11926,19707,17818
1079,KRITINUT,Consumer Defensive,Packaged Foods,97.55,45,43,62,11,86.45,3943648013.3288574,-22.77,44910,22246,17562
1080,ANURAS,Basic Materials,Specialty Chemicals,97.53,45,60,86,95,1216.3,142264845396.50024,-14.04,173043,338261,296869
1081,SBILIFE,Financial Services,Insurance - Life,97.51,45,47,57,85,1855.0,1864660963036.322,-12.99,955272,1005210,973917
